Economy,Year,Subgroup,Top Subgroup Level,Subgroup Level,Average/SE/N,Age of the establishment (years),Proportion of private domestic ownership in a firm (%),Proportion of private foreign ownership in a firm (%),Percent of firms with at least 10% of foreign ownership,Percent of firms with at least 10% of government/state ownership,Proportion of government/state ownership in a firm (%),Proportion of a firm held by the largest owner(s) (%),Percent of firms with legal status of Sole Proprietorship,Percent of firms with legal status of publicly listed company,Percent of firms with an internationally-recognized quality certification,Percent of firms with an annual financial statement reviewed by external auditors ,Percent of firms with legal status of privately held Limited Liability Company ,Percent of firms with legal status of Partnership,Percent of firms with legal status of Limited Partnership
Sri Lanka,2011,Size,,Medium (20-99),Average,23.6,96.9,...,5.8,0.0,...,...,41.0,...,14.7,75.2,...,...,...
Sri Lanka,2011,Size,,Large (100+),Average,38.4,87.8,...,17.6,3.0,...,...,21.9,...,48.7,92.9,...,...,...
Sri Lanka,2011,Location,,Central,Average,33.0,99.2,...,1.7,0.3,...,...,65.4,...,12.8,67.7,...,...,...
Sri Lanka,2011,Location,,Eastern,Average,16.8,100.0,...,0.0,0.0,...,...,98.1,...,0.4,32.0,...,...,...
Sri Lanka,2011,Location,,North-Central,Average,27.1,97.1,...,4.0,0.0,...,...,83.7,...,12.3,73.5,...,...,...
Sri Lanka,2011,Location,,Northern,Average,22.3,100.0,...,0.0,0.0,...,...,74.9,...,1.1,27.5,...,...,...
Sri Lanka,2011,Location,,North-Western,Average,19.1,99.8,...,0.2,0.0,...,...,73.7,...,1.6,46.0,...,...,...
Sri Lanka,2011,Location,,Sabaragamuwa,Average,28.1,98.6,...,0.6,1.7,...,...,84.7,...,10.3,74.1,...,...,...
Sri Lanka,2011,Location,,Southern,Average,20.7,96.7,...,5.8,0.5,...,...,65.0,...,9.4,52.2,...,...,...
Sri Lanka,2011,Location,,Uva,Average,26.0,99.0,...,1.0,0.3,...,...,53.6,...,10.5,64.7,...,...,...
Sri Lanka,2011,Location,,Western,Average,21.6,96.2,...,5.7,0.0,...,...,59.2,...,10.5,63.8,...,...,...
Sri Lanka,2011,Exporter Type,,Direct exports are 10% or more of sales,Average,35.6,93.3,...,11.9,1.1,...,...,34.0,...,47.3,82.1,...,...,...
Sri Lanka,2011,Exporter Type,,Non-exporter,Average,22.7,97.7,...,3.5,0.1,...,...,66.9,...,7.6,59.4,...,...,...
Sri Lanka,2011,Gender of Top Manager,,Top manager is female,Average,22.1,98.9,...,3.1,0.0,...,...,70.4,...,3.5,70.3,...,...,...
Sri Lanka,2011,Gender of Top Manager,,Top manager is male,Average,23.3,97.4,...,3.8,0.2,...,...,65.3,...,9.6,59.3,...,...,...
Sri Lanka,2011,Ownership Type,,Domestic,Average,22.7,99.9,...,0.0,0.1,...,...,67.9,...,7.2,59.2,...,...,...
Sri Lanka,2011,Ownership Type,,10% or more foreign ownership,Average,27.7,36.4,...,100.0,1.1,...,...,12.6,...,51.2,90.5,...,...,...
Lesotho,2009,,,,Average,14.2,68.2,...,31.1,1.8,...,...,44.4,...,24.7,66.0,...,...,...
Lesotho,2009,Sector,Manufacturing,All,Average,12.8,52.1,...,40.3,9.5,...,...,48.5,...,29.5,64.7,...,...,...
Lesotho,2009,Sector,Manufacturing,Manufacturing,Average,12.8,52.1,...,40.3,9.5,...,...,48.5,...,29.5,64.7,...,...,...
Lesotho,2009,Sector,Services,All,Average,14.5,71.9,...,29.0,0.0,...,...,43.5,...,23.5,66.3,...,...,...
Lesotho,2009,Sector,Services,Services,Average,14.5,71.9,...,29.0,0.0,...,...,43.5,...,23.5,66.3,...,...,...
Lesotho,2009,Size,,Small (5-19),Average,12.0,72.7,...,23.2,0.1,...,...,56.1,...,15.3,56.0,...,...,...
Lesotho,2009,Size,,Medium (20-99),Average,18.1,59.3,...,48.3,5.9,...,...,19.5,...,37.3,83.5,...,...,...
Lesotho,2009,Size,,Large (100+),Average,23.4,55.5,...,45.1,2.5,...,...,24.4,...,82.4,97.5,...,...,...
Lesotho,2009,Location,,Maseru,Average,14.2,68.2,...,31.1,1.8,...,...,44.4,...,24.7,66.0,...,...,...
Lesotho,2009,Exporter Type,,Direct exports are 10% or more of sales,Average,15.3,44.3,...,55.6,0.0,...,...,30.7,...,69.2,84.2,...,...,...
Lesotho,2009,Exporter Type,,Non-exporter,Average,14.2,68.8,...,30.0,2.0,...,...,45.5,...,22.6,63.7,...,...,...
Lesotho,2009,Gender of Top Manager,,Top manager is female,Average,12.9,72.6,...,14.2,0.0,...,...,24.7,...,20.0,55.3,...,...,...
Lesotho,2009,Gender of Top Manager,,Top manager is male,Average,16.4,64.5,...,36.2,3.9,...,...,19.2,...,27.6,69.1,...,...,...
Lesotho,2009,Ownership Type,,Domestic,Average,13.4,92.9,...,0.0,0.0,...,...,51.4,...,25.0,65.5,...,...,...
Lesotho,2009,Ownership Type,,10% or more foreign ownership,Average,15.7,13.4,...,100.0,5.8,...,...,29.0,...,23.9,67.1,...,...,...
Lesotho,2016,,,,Average,14.7,86.4,...,15.0,0.3,...,...,58.5,...,2.5,64.0,...,...,...
Lesotho,2016,Sector,Manufacturing,All,Average,14.0,71.7,...,31.0,1.6,...,...,48.5,...,12.3,78.5,...,...,...
Lesotho,2016,Sector,Manufacturing,Manufacturing,Average,14.0,71.7,...,31.0,1.6,...,...,48.5,...,12.3,78.5,...,...,...
Lesotho,2016,Sector,Services,All,Average,14.9,89.5,...,11.6,0.0,...,...,60.2,...,0.5,61.4,...,...,...
Lesotho,2016,Sector,Services,Services,Average,14.9,89.5,...,11.6,0.0,...,...,60.2,...,0.5,61.4,...,...,...
Lesotho,2016,Size,,Small (5-19),Average,14.1,92.6,...,5.9,0.0,...,...,73.4,...,0.0,59.2,...,...,...
Lesotho,2016,Size,,Medium (20-99),Average,16.7,75.5,...,33.3,0.7,...,...,25.4,...,3.6,69.8,...,...,...
Lesotho,2016,Size,,Large (100+),Average,15.4,59.2,...,48.9,1.6,...,...,3.0,...,24.9,93.8,...,...,...
Lesotho,2016,Location,,Lesotho,Average,14.7,86.4,...,15.0,0.3,...,...,58.5,...,2.5,64.0,...,...,...
Lesotho,2016,Exporter Type,,Direct exports are 10% or more of sales,Average,15.8,58.5,...,65.2,2.6,...,...,5.0,...,18.0,66.6,...,...,...
Lesotho,2016,Exporter Type,,Non-exporter,Average,14.5,89.6,...,8.9,0.0,...,...,63.8,...,1.3,63.7,...,...,...
Lesotho,2016,Gender of Top Manager,,Top manager is female,Average,13.6,80.1,...,18.5,0.0,...,...,55.4,...,3.9,78.0,...,...,...
Lesotho,2016,Gender of Top Manager,,Top manager is male,Average,15.4,89.5,...,13.2,0.4,...,...,60.2,...,2.0,56.1,...,...,...
Lesotho,2016,Ownership Type,,Domestic,Average,14.1,95.3,...,0.0,0.0,...,...,73.2,...,1.5,59.9,...,...,...
Lesotho,2016,Ownership Type,,10% or more foreign ownership,Average,14.3,35.6,...,100.0,1.9,...,...,8.4,...,12.7,98.2,...,...,...
Lithuania,2009,,,,Average,11.9,92.9,...,7.8,4.0,...,...,22.7,...,15.6,21.8,...,...,...
Lithuania,2009,Sector,Manufacturing,All,Average,12.1,87.9,...,12.3,0.0,...,...,19.1,...,16.8,26.5,...,...,...
Lithuania,2009,Sector,Manufacturing,Manufacturing,Average,12.1,87.9,...,12.3,0.0,...,...,19.1,...,16.8,26.5,...,...,...
Lithuania,2009,Sector,Services,All,Average,11.8,94.4,...,6.5,5.2,...,...,23.8,...,15.2,20.3,...,...,...
Lithuania,2009,Sector,Services,Retail,Average,10.6,93.9,...,5.7,0.0,...,...,40.1,...,12.7,11.8,...,...,...
Lithuania,2009,Sector,Services,Other Services,Average,12.2,94.5,...,6.7,6.9,...,...,18.7,...,16.0,23.2,...,...,...
Lithuania,2009,Size,,Small (5-19),Average,10.7,93.2,...,8.7,5.3,...,...,27.0,...,7.1,9.9,...,...,...
Lithuania,2009,Size,,Medium (20-99),Average,13.0,94.3,...,6.0,0.3,...,...,18.3,...,25.0,32.3,...,...,...
Lithuania,2009,Size,,Large (100+),Average,17.5,82.6,...,9.3,11.3,...,...,5.9,...,48.8,83.6,...,...,...
Lithuania,2009,Location,,Coast and West,Average,12.6,99.4,...,0.5,0.0,...,...,33.2,...,21.3,23.6,...,...,...
Lithuania,2009,Location,,North East,Average,11.3,97.1,...,3.2,0.0,...,...,25.1,...,20.7,20.3,...,...,...
Lithuania,2009,Location,,South West,Average,12.1,85.6,...,16.6,11.8,...,...,16.6,...,5.7,20.3,...,...,...
Lithuania,2009,Location,,Vilniaus,Average,11.8,93.5,...,6.1,0.4,...,...,21.1,...,19.7,24.7,...,...,...
Lithuania,2009,Exporter Type,,Direct exports are 10% or more of sales,Average,11.9,87.7,...,12.3,0.0,...,...,10.9,...,29.0,32.9,...,...,...
Lithuania,2009,Exporter Type,,Non-exporter,Average,11.8,93.9,...,6.9,5.0,...,...,24.1,...,12.7,19.7,...,...,...
Lithuania,2009,Gender of Top Manager,,Top manager is female,Average,13.0,88.1,...,19.0,10.5,...,...,33.1,...,2.8,10.3,...,...,...
Lithuania,2009,Gender of Top Manager,,Top manager is male,Average,11.7,93.7,...,5.9,2.9,...,...,20.9,...,17.9,23.9,...,...,...
Lithuania,2009,Ownership Type,,Domestic,Average,11.9,98.9,...,0.0,0.9,...,...,23.8,...,16.0,20.5,...,...,...
Lithuania,2009,Ownership Type,,10% or more foreign ownership,Average,11.1,21.6,...,100.0,40.5,...,...,10.7,...,10.8,36.3,...,...,...
Lithuania,2013,,,,Average,12.3,92.2,...,10.5,2.4,...,...,6.9,...,18.0,28.2,...,...,...
Lithuania,2013,Sector,Manufacturing,All,Average,16.1,93.5,...,2.5,5.0,...,...,13.0,...,27.6,29.2,...,...,...
Lithuania,2013,Sector,Manufacturing,Manufacturing,Average,16.1,93.5,...,2.5,5.0,...,...,13.0,...,27.6,29.2,...,...,...
Lithuania,2013,Sector,Services,All,Average,11.1,91.9,...,12.9,1.6,...,...,5.0,...,14.9,27.9,...,...,...
Lithuania,2013,Sector,Services,Retail,Average,13.3,97.5,...,3.1,0.0,...,...,24.0,...,4.0,39.4,...,...,...
Lithuania,2013,Sector,Services,Other Services,Average,10.6,90.7,...,14.8,2.0,...,...,1.1,...,17.1,25.5,...,...,...
Lithuania,2013,Size,,Small (5-19),Average,10.5,92.9,...,10.7,0.0,...,...,9.3,...,8.4,24.0,...,...,...
Lithuania,2013,Size,,Medium (20-99),Average,15.7,90.7,...,9.8,9.0,...,...,1.3,...,38.9,31.4,...,...,...
Lithuania,2013,Size,,Large (100+),Average,25.0,90.8,...,11.0,0.0,...,...,0.0,...,65.9,93.5,...,...,...
Lithuania,2013,Location,,Coast+West,Average,13.3,99.7,...,0.3,0.0,...,...,12.2,...,23.8,24.4,...,...,...
Lithuania,2013,Location,,North-East,Average,13.9,99.1,...,1.1,0.0,...,...,17.9,...,20.5,17.0,...,...,...
Lithuania,2013,Location,,South-West,Average,12.0,92.6,...,10.9,6.7,...,...,6.4,...,19.0,23.4,...,...,...
Lithuania,2013,Location,,Vilniaus,Average,11.6,86.7,...,17.2,0.0,...,...,1.3,...,13.8,38.4,...,...,...
Lithuania,2013,Exporter Type,,Direct exports are 10% or more of sales,Average,14.2,89.8,...,13.9,0.0,...,...,6.3,...,17.5,38.4,...,...,...
Lithuania,2013,Exporter Type,,Non-exporter,Average,11.5,93.6,...,10.0,1.7,...,...,7.4,...,17.0,25.1,...,...,...
Lithuania,2013,Gender of Top Manager,,Top manager is female,Average,11.0,90.5,...,12.4,0.0,...,...,8.0,...,6.8,24.0,...,...,...
Lithuania,2013,Gender of Top Manager,,Top manager is male,Average,12.7,92.7,...,10.0,3.0,...,...,6.6,...,20.9,29.4,...,...,...
Lithuania,2013,Ownership Type,,Domestic,Average,12.9,98.9,...,0.0,1.3,...,...,7.8,...,17.1,26.6,...,...,...
Lithuania,2013,Ownership Type,,10% or more foreign ownership,Average,8.2,35.2,...,100.0,12.0,...,...,0.0,...,28.4,39.8,...,...,...
Latvia,2009,,,,Average,12.0,88.6,...,10.6,0.6,...,...,3.6,...,18.2,51.5,...,...,...
Latvia,2009,Sector,Manufacturing,All,Average,12.1,90.0,...,14.4,0.0,...,...,1.6,...,22.3,52.9,...,...,...
Latvia,2009,Sector,Manufacturing,Manufacturing,Average,12.1,90.0,...,14.4,0.0,...,...,1.6,...,22.3,52.9,...,...,...
Latvia,2009,Sector,Services,All,Average,12.0,88.2,...,9.6,0.8,...,...,4.1,...,17.0,51.0,...,...,...
Latvia,2009,Sector,Services,Retail,Average,12.8,94.7,...,6.3,0.0,...,...,8.7,...,4.4,48.2,...,...,...
Latvia,2009,Sector,Services,Other Services,Average,11.6,84.8,...,11.2,1.2,...,...,1.7,...,23.7,52.5,...,...,...
Latvia,2009,Size,,Small (5-19),Average,11.5,89.7,...,8.1,0.0,...,...,4.7,...,12.2,38.3,...,...,...
Latvia,2009,Size,,Large (100+),Average,15.3,67.3,...,36.5,1.5,...,...,2.8,...,57.0,97.5,...,...,...
Latvia,2009,Size,,Medium (20-99),Average,12.7,90.3,...,12.0,2.0,...,...,0.6,...,26.4,76.2,...,...,...
Latvia,2009,Location,,Kurzeme,Average,11.8,88.4,...,5.3,0.0,...,...,14.7,...,24.4,35.1,...,...,...
Latvia,2009,Location,,Latgale,Average,13.0,94.4,...,1.9,0.0,...,...,13.7,...,11.6,41.4,...,...,...
Latvia,2009,Location,,Pieriga,Average,11.7,97.8,...,2.7,0.0,...,...,0.0,...,1.9,26.3,...,...,...
Latvia,2009,Location,,Riga,Average,11.7,86.7,...,14.8,1.2,...,...,0.0,...,23.1,60.4,...,...,...
Latvia,2009,Location,,Vidzeme,Average,11.8,82.6,...,17.4,0.0,...,...,0.0,...,8.1,68.2,...,...,...
Latvia,2009,Location,,Zemgale,Average,13.7,85.7,...,6.3,0.0,...,...,10.0,...,28.4,46.5,...,...,...
Latvia,2009,Exporter Type,,Direct exports are 10% or more of sales,Average,9.9,69.6,...,34.9,0.0,...,...,0.7,...,37.3,85.2,...,...,...
Latvia,2009,Exporter Type,,Non-exporter,Average,12.4,92.2,...,6.1,0.7,...,...,4.1,...,14.8,45.1,...,...,...
Latvia,2009,Gender of Top Manager,,Top manager is female,Average,12.6,92.0,...,8.1,1.9,...,...,7.2,...,14.6,44.8,...,...,...
Latvia,2009,Gender of Top Manager,,Top manager is male,Average,11.7,87.1,...,11.8,0.0,...,...,1.9,...,19.9,54.5,...,...,...
Latvia,2009,Ownership Type,,Domestic,Average,12.2,97.2,...,0.0,0.7,...,...,4.0,...,16.6,48.7,...,...,...
Latvia,2009,Ownership Type,,10% or more foreign ownership,Average,10.5,16.3,...,100.0,0.0,...,...,0.0,...,32.0,74.9,...,...,...
Latvia,2013,,,,Average,12.8,91.4,...,8.3,0.0,...,...,0.4,...,19.6,36.8,...,...,...
Latvia,2013,Sector,Manufacturing,All,Average,12.6,93.6,...,7.3,0.0,...,...,0.0,...,27.4,37.7,...,...,...
Latvia,2013,Sector,Manufacturing,Manufacturing,Average,12.6,93.6,...,7.3,0.0,...,...,0.0,...,27.4,37.7,...,...,...
Latvia,2013,Sector,Services,All,Average,12.9,89.9,...,9.0,0.1,...,...,0.7,...,13.9,36.2,...,...,...
Latvia,2013,Sector,Services,Retail,Average,13.6,93.0,...,7.0,0.0,...,...,1.0,...,9.9,35.0,...,...,...
Latvia,2013,Sector,Services,Other Services,Average,11.4,82.5,...,13.7,0.2,...,...,0.0,...,23.4,38.9,...,...,...
Latvia,2013,Size,,Small (5-19),Average,12.2,94.6,...,4.6,0.0,...,...,0.6,...,15.1,28.0,...,...,...
Latvia,2013,Size,,Medium (20-99),Average,13.8,85.2,...,15.2,0.0,...,...,0.0,...,28.1,56.1,...,...,...
Latvia,2013,Size,,Large (100+),Average,18.0,66.5,...,41.1,1.2,...,...,0.0,...,53.0,89.4,...,...,...
Latvia,2013,Location,,Kurzeme,Average,11.2,94.3,...,6.6,0.0,...,...,0.0,...,14.8,25.5,...,...,...
Latvia,2013,Location,,Latgale,Average,14.6,100.0,...,0.0,0.0,...,...,3.5,...,26.3,46.8,...,...,...
Latvia,2013,Location,,Pieriga,Average,11.9,92.1,...,8.9,0.0,...,...,0.0,...,15.0,40.5,...,...,...
Latvia,2013,Location,,Riga,Average,12.3,88.2,...,10.5,0.0,...,...,0.0,...,17.1,37.4,...,...,...
Latvia,2013,Location,,Vidzeme,Average,14.8,85.2,...,14.4,0.4,...,...,0.0,...,38.6,38.3,...,...,...
Latvia,2013,Location,,Zemgale,Average,13.6,95.6,...,4.7,0.0,...,...,0.0,...,17.7,26.6,...,...,...
Latvia,2013,Exporter Type,,Direct exports are 10% or more of sales,Average,11.8,77.1,...,24.3,0.0,...,...,0.0,...,40.9,55.9,...,...,...
Latvia,2013,Exporter Type,,Non-exporter,Average,13.2,95.8,...,3.3,0.0,...,...,0.6,...,12.3,31.8,...,...,...
Latvia,2013,Gender of Top Manager,,Top manager is female,Average,13.4,94.5,...,3.4,0.0,...,...,1.4,...,13.9,26.5,...,...,...
Latvia,2013,Gender of Top Manager,,Top manager is male,Average,12.5,90.2,...,10.4,0.1,...,...,0.0,...,22.2,41.6,...,...,...
Latvia,2013,Ownership Type,,Domestic,Average,13.1,99.1,...,0.0,0.0,...,...,0.5,...,16.3,34.5,...,...,...
Latvia,2013,Ownership Type,,10% or more foreign ownership,Average,9.8,6.9,...,100.0,0.0,...,...,0.0,...,59.6,59.8,...,...,...
Morocco,2013,,,,Average,20.1,89.8,...,12.0,0.5,...,...,30.8,...,18.2,48.9,...,...,...
Morocco,2013,Sector,Manufacturing,All,Average,21.9,87.5,...,13.4,1.0,...,...,22.3,...,24.7,45.5,...,...,...
Morocco,2013,Sector,Manufacturing,Food,Average,29.2,81.3,...,16.2,0.0,...,...,23.6,...,55.1,34.1,...,...,...
Morocco,2013,Sector,Manufacturing,Garments,Average,16.4,92.0,...,9.0,0.0,...,...,27.6,...,9.3,33.4,...,...,...
Morocco,2013,Sector,Manufacturing,Other Manufacturing,Average,21.1,88.0,...,13.5,1.4,...,...,21.0,...,19.9,50.5,...,...,...
Morocco,2013,Sector,Services,All,Average,19.0,91.2,...,11.2,0.1,...,...,36.0,...,14.1,51.1,...,...,...
Morocco,2013,Sector,Services,Retail,Average,17.7,90.4,...,12.0,0.0,...,...,43.3,...,14.0,43.1,...,...,...
Morocco,2013,Sector,Services,Other Services,Average,19.2,91.3,...,11.1,0.1,...,...,34.8,...,14.1,52.5,...,...,...
Morocco,2013,Size,,Medium (20-99),Average,21.4,84.5,...,18.3,1.2,...,...,20.9,...,23.1,55.3,...,...,...
Morocco,2013,Size,,Small (5-19),Average,17.4,94.3,...,6.5,0.0,...,...,42.8,...,6.2,42.5,...,...,...
Morocco,2013,Size,,Large (100+),Average,27.8,87.2,...,15.9,0.0,...,...,12.5,...,49.8,55.3,...,...,...
Morocco,2013,Location,,Central,Average,19.0,94.0,...,6.1,0.0,...,...,25.9,...,9.4,42.2,...,...,...
Morocco,2013,Location,,Grand Casablanca,Average,21.3,90.2,...,17.6,1.5,...,...,22.5,...,20.4,60.4,...,...,...
Morocco,2013,Location,,North,Average,17.9,80.0,...,23.1,0.0,...,...,34.0,...,27.4,67.2,...,...,...
Morocco,2013,Location,,Rabat-Sale-Zemmour-Zaer,Average,19.5,82.3,...,13.2,0.7,...,...,31.4,...,18.0,47.2,...,...,...
Morocco,2013,Location,,South,Average,21.8,94.8,...,3.9,0.0,...,...,44.6,...,19.1,30.4,...,...,...
Morocco,2013,Exporter Type,,Direct exports are 10% or more of sales,Average,18.5,83.2,...,18.6,3.3,...,...,17.7,...,23.5,44.5,...,...,...
Morocco,2013,Exporter Type,,Non-exporter,Average,20.4,90.5,...,10.9,0.1,...,...,32.8,...,16.4,49.6,...,...,...
Morocco,2013,Gender of Top Manager,,Top manager is female,Average,20.0,95.0,...,3.3,0.0,...,...,39.0,...,17.9,21.2,...,...,...
Morocco,2013,Gender of Top Manager,,Top manager is male,Average,20.1,89.5,...,12.4,0.5,...,...,30.4,...,18.2,50.2,...,...,...
Morocco,2013,Ownership Type,,Domestic,Average,20.4,98.5,...,0.0,0.1,...,...,32.9,...,14.6,47.0,...,...,...
Morocco,2013,Ownership Type,,10% or more foreign ownership,Average,17.8,21.4,...,100.0,3.3,...,...,17.0,...,36.5,63.9,...,...,...
Moldova,2009,,,,Average,11.0,93.7,...,5.3,1.5,...,...,12.5,...,9.1,20.3,...,...,...
Moldova,2009,Sector,Manufacturing,All,Average,11.2,90.5,...,10.0,1.4,...,...,8.3,...,9.9,29.8,...,...,...
Moldova,2009,Sector,Manufacturing,Manufacturing,Average,11.2,90.5,...,10.0,1.4,...,...,8.3,...,9.9,29.8,...,...,...
Moldova,2009,Sector,Services,All,Average,10.9,94.7,...,3.8,1.6,...,...,13.8,...,8.9,17.4,...,...,...
Moldova,2009,Sector,Services,Retail,Average,11.3,93.8,...,3.6,2.1,...,...,16.1,...,8.9,12.9,...,...,...
Moldova,2009,Sector,Services,Other Services,Average,10.6,95.4,...,4.0,1.1,...,...,12.0,...,8.8,20.9,...,...,...
Moldova,2009,Size,,Medium (20-99),Average,11.2,92.3,...,6.9,2.3,...,...,12.2,...,7.5,18.2,...,...,...
Moldova,2009,Size,,Small (5-19),Average,10.7,96.3,...,2.5,1.2,...,...,13.2,...,7.2,20.5,...,...,...
Moldova,2009,Size,,Large (100+),Average,12.6,76.1,...,24.7,1.3,...,...,7.2,...,36.3,30.7,...,...,...
Moldova,2009,Location,,Central,Average,11.2,92.8,...,6.1,1.2,...,...,12.5,...,8.8,20.7,...,...,...
Moldova,2009,Location,,North,Average,10.1,96.9,...,2.5,2.0,...,...,14.5,...,7.0,15.4,...,...,...
Moldova,2009,Location,,South,Average,9.8,95.1,...,4.4,3.7,...,...,6.3,...,17.7,27.6,...,...,...
Moldova,2009,Location,,Southeast,Average,11.2,99.6,...,0.0,2.1,...,...,23.1,...,6.0,18.9,...,...,...
Moldova,2009,Exporter Type,,Direct exports are 10% or more of sales,Average,12.5,82.8,...,17.9,0.8,...,...,6.8,...,14.8,32.8,...,...,...
Moldova,2009,Exporter Type,,Non-exporter,Average,10.8,95.0,...,3.9,1.6,...,...,13.1,...,8.4,18.9,...,...,...
Moldova,2009,Gender of Top Manager,,Top manager is female,Average,11.2,97.3,...,1.6,1.5,...,...,11.4,...,6.5,12.1,...,...,...
Moldova,2009,Gender of Top Manager,,Top manager is male,Average,10.9,92.8,...,6.3,1.6,...,...,12.7,...,9.8,22.5,...,...,...
Moldova,2009,Ownership Type,,Domestic,Average,11.0,98.0,...,0.0,1.4,...,...,12.6,...,7.1,20.0,...,...,...
Moldova,2009,Ownership Type,,10% or more foreign ownership,Average,9.4,16.9,...,100.0,3.6,...,...,9.9,...,44.4,25.7,...,...,...
Moldova,2013,,,,Average,12.1,91.3,...,9.9,3.5,...,...,10.3,...,18.7,25.8,...,...,...
Moldova,2013,Sector,Manufacturing,All,Average,12.7,90.4,...,11.8,8.4,...,...,8.6,...,21.3,16.6,...,...,...
Moldova,2013,Sector,Manufacturing,Manufacturing,Average,12.7,90.4,...,11.8,8.4,...,...,8.6,...,21.3,16.6,...,...,...
Moldova,2013,Sector,Services,All,Average,11.9,91.5,...,9.4,2.3,...,...,10.8,...,18.0,28.0,...,...,...
Moldova,2013,Sector,Services,Retail,Average,10.6,94.7,...,7.0,2.1,...,...,17.5,...,14.0,34.6,...,...,...
Moldova,2013,Sector,Services,Other Services,Average,12.6,89.8,...,10.8,2.5,...,...,7.1,...,20.0,24.4,...,...,...
Moldova,2013,Size,,Small (5-19),Average,11.6,90.1,...,11.4,3.6,...,...,13.4,...,15.1,19.5,...,...,...
Moldova,2013,Size,,Medium (20-99),Average,12.2,96.6,...,3.5,1.1,...,...,3.4,...,19.5,40.3,...,...,...
Moldova,2013,Size,,Large (100+),Average,19.0,80.6,...,22.4,16.3,...,...,0.0,...,76.7,46.9,...,...,...
Moldova,2013,Location,,Central,Average,12.1,93.8,...,7.6,0.2,...,...,6.9,...,12.0,15.8,...,...,...
Moldova,2013,Location,,North,Average,11.4,79.3,...,21.4,18.0,...,...,22.9,...,52.1,61.7,...,...,...
Moldova,2013,Location,,South,Average,13.4,97.7,...,3.0,0.0,...,...,17.7,...,9.2,47.6,...,...,...
Moldova,2013,Location,,South East,Average,12.3,81.0,...,17.2,14.5,...,...,4.7,...,2.7,47.2,...,...,...
Moldova,2013,Exporter Type,,Direct exports are 10% or more of sales,Average,11.9,56.5,...,51.9,36.9,...,...,13.6,...,83.4,56.2,...,...,...
Moldova,2013,Exporter Type,,Non-exporter,Average,12.0,93.9,...,7.0,1.1,...,...,10.0,...,13.9,23.8,...,...,...
Moldova,2013,Gender of Top Manager,,Top manager is female,Average,10.0,97.6,...,3.3,2.4,...,...,10.2,...,11.8,12.8,...,...,...
Moldova,2013,Gender of Top Manager,,Top manager is male,Average,12.8,89.4,...,11.7,3.3,...,...,10.5,...,21.3,30.4,...,...,...
Moldova,2013,Ownership Type,,Domestic,Average,12.3,98.4,...,0.0,1.8,...,...,11.5,...,12.7,22.1,...,...,...
Moldova,2013,Ownership Type,,10% or more foreign ownership,Average,9.6,26.8,...,100.0,18.6,...,...,0.0,...,71.1,66.2,...,...,...
Madagascar,2009,,,,Average,18.9,67.6,...,35.9,0.8,...,...,43.8,...,8.6,48.0,...,...,...
Madagascar,2009,Sector,Manufacturing,All,Average,21.5,65.0,...,37.5,1.1,...,...,43.3,...,11.4,44.9,...,...,...
Madagascar,2009,Sector,Manufacturing,Food,Average,15.5,74.6,...,28.2,0.0,...,...,56.9,...,13.4,41.0,...,...,...
Madagascar,2009,Sector,Manufacturing,Garments,Average,11.3,37.1,...,66.6,0.0,...,...,17.6,...,6.3,57.0,...,...,...
Madagascar,2009,Sector,Manufacturing,Manufacturing,Average,n.a.,n.a.,...,n.a.,n.a.,...,...,n.a.,...,n.a.,n.a.,...,...,...
Madagascar,2009,Sector,Manufacturing,Other Manufacturing,Average,26.6,72.1,...,30.0,1.7,...,...,48.6,...,12.0,41.2,...,...,...
Madagascar,2009,Sector,Services,All,Average,17.7,68.7,...,35.1,0.6,...,...,44.0,...,7.4,49.4,...,...,...
Madagascar,2009,Sector,Services,Retail,Average,21.3,73.1,...,29.8,0.5,...,...,58.3,...,3.3,34.6,...,...,...
Madagascar,2009,Sector,Services,Other Services,Average,15.9,66.5,...,37.7,0.7,...,...,37.0,...,9.5,56.8,...,...,...
Madagascar,2009,Size,,Medium (20-99),Average,18.6,70.3,...,35.8,1.0,...,...,39.4,...,10.3,60.5,...,...,...
Madagascar,2009,Size,,Small (5-19),Average,17.8,72.2,...,29.4,0.0,...,...,53.4,...,6.0,34.3,...,...,...
Madagascar,2009,Size,,Large (100+),Average,24.7,35.0,...,68.4,3.8,...,...,9.8,...,16.6,76.2,...,...,...
Madagascar,2009,Location,,Antananarivo,Average,17.4,70.6,...,32.6,0.9,...,...,42.7,...,7.8,48.3,...,...,...
Madagascar,2009,Location,,Antsiranana,Average,24.1,43.3,...,57.0,0.0,...,...,18.7,...,3.9,57.7,...,...,...
Madagascar,2009,Location,,Mahajanga,Average,24.9,49.0,...,52.1,0.0,...,...,59.6,...,0.0,49.7,...,...,...
Madagascar,2009,Location,,Toamasina,Average,26.2,61.1,...,46.3,0.0,...,...,54.9,...,22.7,41.0,...,...,...
Madagascar,2009,Exporter Type,,Direct exports are 10% or more of sales,Average,14.7,32.7,...,73.7,3.2,...,...,8.8,...,13.8,55.7,...,...,...
Madagascar,2009,Exporter Type,,Non-exporter,Average,19.3,71.1,...,32.0,0.5,...,...,47.4,...,8.1,47.2,...,...,...
Madagascar,2009,Ownership Type,,Domestic,Average,19.1,99.7,...,0.0,0.3,...,...,56.8,...,6.4,41.4,...,...,...
